Posto;Bairro;Combustivel;Preco (R$);Data da coleta
Posto Cobilândia;Cobilândia;Diesel S10;5.897;08/03/2025
Posto Cobilândia;Cobilândia;Diesel S10;5.951;22/03/2025
Posto Cobilândia;Cobilândia;Diesel S10;5.95;05/04/2025
Posto Cobilândia;Cobilândia;Diesel S10;6.02;19/04/2025
Posto Cobilândia;Cobilândia;Diesel S10;5.969;03/05/2025
Posto Cobilândia;Cobilândia;Diesel S10;5.993;17/05/2025
Posto Cobilândia;Cobilândia;Etanol;4.498;08/03/2025
Posto Cobilândia;Cobilândia;Etanol;4.449;22/03/2025
Posto Cobilândia;Cobilândia;Etanol;4.546;05/04/2025
Posto Cobilândia;Cobilândia;Etanol;4.514;19/04/2025
Posto Cobilândia;Cobilândia;Etanol;4.59;03/05/2025
Posto Cobilândia;Cobilândia;Etanol;4.623;17/05/2025
Posto Cobilândia;Cobilândia;Gasolina aditivada;6.104;08/03/2025
Posto Cobilândia;Cobilândia;Gasolina aditivada;6.139;22/03/2025
Posto Cobilândia;Cobilândia;Gasolina aditivada;6.267;05/04/2025
Posto Cobilândia;Cobilândia;Gasolina aditivada;6.244;19/04/2025
Posto Cobilândia;Cobilândia;Gasolina aditivada;6.25;03/05/2025
Posto Cobilândia;Cobilândia;Gasolina aditivada;6.266;17/05/2025
Posto Cobilândia;Cobilândia;Gasolina comum;5.983;08/03/2025
Posto Cobilândia;Cobilândia;Gasolina comum;6.087;22/03/2025
Posto Cobilândia;Cobilândia;Gasolina comum;6.134;05/04/2025
Posto Cobilândia;Cobilândia;Gasolina comum;6.135;19/04/2025
Posto Cobilândia;Cobilândia;Gasolina comum;6.114;03/05/2025
Posto Cobilândia;Cobilândia;Gasolina comum;6.216;17/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Diesel S10;5.992;08/03/2025
Posto Coqueiral;Coqueiral de Itaparica;Diesel S10;6.065;22/03/2025
Posto Coqueiral;Coqueiral de Itaparica;Diesel S10;6.039;05/04/2025
Posto Coqueiral;Coqueiral de Itaparica;Diesel S10;6.08;19/04/2025
Posto Coqueiral;Coqueiral de Itaparica;Diesel S10;6.137;03/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Diesel S10;6.115;17/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Etanol;4.596;08/03/2025
Posto Coqueiral;Coqueiral de Itaparica;Etanol;4.605;22/03/2025
Posto Coqueiral;Coqueiral de Itaparica;Etanol;4.57;05/04/2025
Posto Coqueiral;Coqueiral de Itaparica;Etanol;4.61;19/04/2025
Posto Coqueiral;Coqueiral de Itaparica;Etanol;4.63;03/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Etanol;4.672;17/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina aditivada;6.302;08/03/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina aditivada;6.313;22/03/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina aditivada;6.377;05/04/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina aditivada;6.39;19/04/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina aditivada;6.416;03/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina aditivada;6.485;17/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina comum;6.114;08/03/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina comum;6.151;22/03/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina comum;6.208;05/04/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina comum;6.201;19/04/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina comum;6.322;03/05/2025
Posto Coqueiral;Coqueiral de Itaparica;Gasolina comum;6.272;17/05/2025
Posto Glória;Glória;Diesel S10;6.019;08/03/2025
Posto Glória;Glória;Diesel S10;5.967;22/03/2025
Posto Glória;Glória;Diesel S10;6.014;05/04/2025
Posto Glória;Glória;Diesel S10;6.011;19/04/2025
Posto Glória;Glória;Diesel S10;6.086;03/05/2025
Posto Glória;Glória;Diesel S10;6.062;17/05/2025
Posto Glória;Glória;Etanol;4.522;08/03/2025
Posto Glória;Glória;Etanol;4.505;22/03/2025
Posto Glória;Glória;Etanol;4.619;05/04/2025
Posto Glória;Glória;Etanol;4.653;19/04/2025
Posto Glória;Glória;Etanol;4.593;03/05/2025
Posto Glória;Glória;Etanol;4.634;17/05/2025
Posto Glória;Glória;Gasolina aditivada;6.2;08/03/2025
Posto Glória;Glória;Gasolina aditivada;6.244;22/03/2025
Posto Glória;Glória;Gasolina aditivada;6.261;05/04/2025
Posto Glória;Glória;Gasolina aditivada;6.332;19/04/2025
Posto Glória;Glória;Gasolina aditivada;6.315;03/05/2025
Posto Glória;Glória;Gasolina aditivada;6.423;17/05/2025
Posto Glória;Glória;Gasolina comum;6.141;08/03/2025
Posto Glória;Glória;Gasolina comum;6.132;22/03/2025
Posto Glória;Glória;Gasolina comum;6.204;05/04/2025
Posto Glória;Glória;Gasolina comum;6.248;19/04/2025
Posto Glória;Glória;Gasolina comum;6.265;03/05/2025
Posto Glória;Glória;Gasolina comum;6.316;17/05/2025
Posto Itapoã;Itapoã;Diesel S10;6.112;08/03/2025
Posto Itapoã;Itapoã;Diesel S10;6.113;22/03/2025
Posto Itapoã;Itapoã;Diesel S10;6.083;05/04/2025
Posto Itapoã;Itapoã;Diesel S10;6.168;19/04/2025
Posto Itapoã;Itapoã;Diesel S10;6.138;03/05/2025
Posto Itapoã;Itapoã;Diesel S10;6.218;17/05/2025
Posto Itapoã;Itapoã;Etanol;4.627;08/03/2025
Posto Itapoã;Itapoã;Etanol;4.579;22/03/2025
Posto Itapoã;Itapoã;Etanol;4.637;05/04/2025
Posto Itapoã;Itapoã;Etanol;4.703;19/04/2025
Posto Itapoã;Itapoã;Etanol;4.738;03/05/2025
Posto Itapoã;Itapoã;Etanol;4.738;17/05/2025
Posto Itapoã;Itapoã;Gasolina aditivada;6.346;08/03/2025
Posto Itapoã;Itapoã;Gasolina aditivada;6.396;22/03/2025
Posto Itapoã;Itapoã;Gasolina aditivada;6.406;05/04/2025
Posto Itapoã;Itapoã;Gasolina aditivada;6.387;19/04/2025
Posto Itapoã;Itapoã;Gasolina aditivada;6.419;03/05/2025
Posto Itapoã;Itapoã;Gasolina aditivada;6.459;17/05/2025
Posto Itapoã;Itapoã;Gasolina comum;6.205;08/03/2025
Posto Itapoã;Itapoã;Gasolina comum;6.217;22/03/2025
Posto Itapoã;Itapoã;Gasolina comum;6.27;05/04/2025
Posto Itapoã;Itapoã;Gasolina comum;6.28;19/04/2025
Posto Itapoã;Itapoã;Gasolina comum;6.338;03/05/2025
Posto Itapoã;Itapoã;Gasolina comum;6.353;17/05/2025
Posto Praia da Costa;Praia da Costa;Diesel S10;6.208;08/03/2025
Posto Praia da Costa;Praia da Costa;Diesel S10;6.213;22/03/2025
Posto Praia da Costa;Praia da Costa;Diesel S10;6.207;05/04/2025
Posto Praia da Costa;Praia da Costa;Diesel S10;6.2;19/04/2025
Posto Praia da Costa;Praia da Costa;Diesel S10;6.262;03/05/2025
Posto Praia da Costa;Praia da Costa;Diesel S10;6.228;17/05/2025
Posto Praia da Costa;Praia da Costa;Etanol;4.698;08/03/2025
Posto Praia da Costa;Praia da Costa;Etanol;4.724;22/03/2025
Posto Praia da Costa;Praia da Costa;Etanol;4.688;05/04/2025
Posto Praia da Costa;Praia da Costa;Etanol;4.792;19/04/2025
Posto Praia da Costa;Praia da Costa;Etanol;4.765;03/05/2025
Posto Praia da Costa;Praia da Costa;Etanol;4.82;17/05/2025
Posto Praia da Costa;Praia da Costa;Gasolina aditivada;6.379;08/03/2025
Posto Praia da Costa;Praia da Costa;Gasolina aditivada;6.508;22/03/2025
Posto Praia da Costa;Praia da Costa;Gasolina aditivada;6.511;05/04/2025
Posto Praia da Costa;Praia da Costa;Gasolina aditivada;6.571;19/04/2025
Posto Praia da Costa;Praia da Costa;Gasolina aditivada;6.574;03/05/2025
Posto Praia da Costa;Praia da Costa;Gasolina aditivada;6.631;17/05/2025
Posto Praia da Costa;Praia da Costa;Gasolina comum;6.254;08/03/2025
Posto Praia da Costa;Praia da Costa;Gasolina comum;6.302;22/03/2025
Posto Praia da Costa;Praia da Costa;Gasolina comum;6.39;05/04/2025
Posto Praia da Costa;Praia da Costa;Gasolina comum;6.348;19/04/2025
Posto Praia da Costa;Praia da Costa;Gasolina comum;6.398;03/05/2025
Posto Praia da Costa;Praia da Costa;Gasolina comum;6.437;17/05/2025
